# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = cp_model
# start_datetime = 2022-10-21 18:49:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/rob/.julia/dev/ROSStanPluto/notebooks/Playgrounds/ARM/Radon/tmp/cp_data_1.json
# init = 2 (Default)
# random
#   seed = 51049207 (Default)
# output
#   file = /Users/rob/.julia/dev/ROSStanPluto/notebooks/Playgrounds/ARM/Radon/tmp/cp_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   log_prob_output_file = log_prob_output.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0-63-g1ae9de8f
# stancflags = --warn-pedantic --O1
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
# Adaptation terminated
# Step size = 0.746452
# Diagonal elements of inverse mass matrix:
# 0.000872171, 0.00586978, 0.000513636
-280.694,0.939506,0.746452,2,3,0,281.076,1.33513,-0.71544,0.804994
-280.501,0.771733,0.746452,3,7,0,283.044,1.30345,-0.671659,0.83651
-282.012,0.950225,0.746452,3,7,0,283.191,1.2687,-0.465831,0.825468
-283.401,0.955543,0.746452,2,3,0,283.48,1.24748,-0.458084,0.826737
-279.94,0.995434,0.746452,3,7,0,283.987,1.33671,-0.575028,0.805219
-281.254,0.604654,0.746452,1,3,0,285.534,1.34293,-0.553088,0.854053
-280.569,1,0.746452,2,3,0,281.439,1.34956,-0.567768,0.843254
-282.042,0.923593,0.746452,2,3,0,282.891,1.28215,-0.568413,0.860015
-279.848,0.984054,0.746452,2,3,0,282.406,1.35788,-0.639271,0.814474
-279.422,0.987731,0.746452,2,3,0,279.979,1.34546,-0.641851,0.81976
-279.898,0.862246,0.746452,2,3,0,280.749,1.31935,-0.601237,0.844715
-279.98,0.92715,0.746452,3,7,0,281.171,1.3519,-0.599164,0.809425
-279.939,0.967041,0.746452,2,3,0,280.971,1.2996,-0.619051,0.810739
-280.328,0.977071,0.746452,3,7,0,280.723,1.28685,-0.594142,0.811752
-281.234,0.894281,0.746452,3,7,0,282.776,1.30723,-0.491747,0.845525
-279.87,1,0.746452,2,3,0,281.375,1.30963,-0.654363,0.813372
-280.014,0.977354,0.746452,2,3,0,280.42,1.32395,-0.526284,0.823992
