# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = cp_model
# start_datetime = 2022-10-21 18:49:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/rob/.julia/dev/ROSStanPluto/notebooks/Playgrounds/ARM/Radon/tmp/cp_data_2.json
# init = 2 (Default)
# random
#   seed = 51049207 (Default)
# output
#   file = /Users/rob/.julia/dev/ROSStanPluto/notebooks/Playgrounds/ARM/Radon/tmp/cp_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   log_prob_output_file = log_prob_output.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0-63-g1ae9de8f
# stancflags = --warn-pedantic --O1
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
# Adaptation terminated
# Step size = 0.69904
# Diagonal elements of inverse mass matrix:
# 0.000886005, 0.00528841, 0.000523758
-280.59,0.910091,0.69904,2,3,0,280.637,1.354,-0.727908,0.832162
-281.67,0.807222,0.69904,3,7,0,284.133,1.32382,-0.482284,0.803093
-280.805,1,0.69904,3,7,0,281.546,1.32678,-0.716188,0.840862
-279.928,0.981325,0.69904,3,7,0,282.046,1.31537,-0.528309,0.817638
-286.141,0.66668,0.69904,2,7,0,286.444,1.28712,-0.62124,0.761848
-281.355,0.955596,0.69904,2,3,0,287.213,1.37281,-0.567958,0.826041
-283.083,0.948943,0.69904,3,7,0,283.478,1.26148,-0.625938,0.849713
-281.451,0.994261,0.69904,3,7,0,284.637,1.38011,-0.618801,0.840783
-281.454,0.963332,0.69904,3,7,0,283.521,1.2829,-0.615395,0.797855
-282.643,0.793008,0.69904,1,1,0,282.768,1.27439,-0.628704,0.793121
-279.923,1,0.69904,2,3,0,282.699,1.33248,-0.598332,0.800758
-279.753,0.999651,0.69904,3,7,0,280.204,1.34089,-0.675484,0.833986
-280.179,0.946977,0.69904,3,7,0,280.461,1.32447,-0.530371,0.80981
-280.078,0.947651,0.69904,2,7,0,281.086,1.29328,-0.57045,0.809856
-279.564,0.974092,0.69904,2,3,0,280.525,1.30942,-0.636584,0.82065
-281.205,0.883242,0.69904,2,3,0,281.4,1.37795,-0.619276,0.809338
-279.325,0.89405,0.69904,2,3,0,282.397,1.32737,-0.640113,0.816574
-279.41,0.989847,0.69904,3,7,0,279.574,1.32369,-0.574668,0.815838
-281.106,0.90811,0.69904,2,3,0,281.165,1.35957,-0.738867,0.839223
-279.884,0.993813,0.69904,2,3,0,281.788,1.35634,-0.623301,0.81256
-279.92,0.985192,0.69904,3,7,0,280.935,1.29145,-0.570669,0.824655
-279.823,0.981979,0.69904,2,3,0,280.312,1.29704,-0.569797,0.814185
-280.098,0.938577,0.69904,3,7,0,280.672,1.36481,-0.62817,0.825985
-281.242,0.89799,0.69904,2,7,0,282.255,1.27674,-0.601299,0.805428
-280.718,1,0.69904,1,1,0,281.253,1.28287,-0.585208,0.80632
-280.024,1,0.69904,2,3,0,280.969,1.29098,-0.55213,0.818812
-280.354,0.924701,0.69904,2,3,0,280.735,1.30621,-0.50511,0.817655
-280.478,0.995527,0.69904,3,7,0,281.02,1.36295,-0.638093,0.842716
-281.377,0.892308,0.69904,2,3,0,282.481,1.36069,-0.736287,0.845527
-280.235,0.936737,0.69904,2,7,0,283.292,1.28638,-0.60134,0.819368
-279.911,0.988634,0.69904,3,7,0,280.748,1.34051,-0.690032,0.83335
-279.511,0.985915,0.69904,3,7,0,280.831,1.34263,-0.61323,0.812401
-279.383,0.993375,0.69904,2,3,0,279.625,1.33483,-0.643888,0.814369
-279.848,0.916951,0.69904,2,3,0,280.492,1.35069,-0.667814,0.810105
-280.077,0.977208,0.69904,3,7,0,280.564,1.28878,-0.578302,0.829353
-279.688,0.969724,0.69904,2,3,0,280.534,1.30494,-0.621235,0.831758
-279.248,0.999692,0.69904,2,3,0,279.73,1.32595,-0.62813,0.825581
-279.558,0.976912,0.69904,2,3,0,279.641,1.3149,-0.555632,0.827573
-282.197,0.815671,0.69904,2,3,0,282.884,1.36794,-0.769973,0.804897
-283.314,0.946033,0.69904,3,7,0,284.822,1.28817,-0.441628,0.856302
-283.585,1,0.69904,3,7,0,284.11,1.27048,-0.439191,0.853505
-283.138,0.861344,0.69904,3,7,0,288.26,1.36905,-0.816024,0.821127
-283.141,0.900314,0.69904,2,7,0,287.061,1.39845,-0.704075,0.852636
-280.569,1,0.69904,2,3,0,283.108,1.36101,-0.708722,0.837654
-281.292,0.851202,0.69904,2,3,0,282.081,1.38301,-0.620496,0.828281
-280.932,0.982015,0.69904,2,7,0,282.377,1.37418,-0.703706,0.83716
-280.523,0.759455,0.69904,3,7,0,284.468,1.30193,-0.676927,0.815211
-279.334,0.968079,0.69904,1,3,0,280.921,1.32407,-0.63358,0.829275
-280.882,0.842739,0.69904,2,3,0,281.131,1.31968,-0.712789,0.840085
