name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-115.547,0.184497,6.98787,-127.769,-115.29,-104.741,1434.54,1081.04,1.00043
"accept_stat__",0.87804,0.00871957,0.116331,0.647681,0.910449,1,177.994,134.132,1.0156
"stepsize__",0.422406,0.0202168,0.0286338,0.403897,0.40877,0.471897,2.00602,1.51169,2.11609e+13
"treedepth__",3.591,0.010995,0.491711,3,4,4,2000,1507.16,1.43723
"n_leapfrog__",12.066,0.0862188,3.85582,7,15,15,2000,1507.16,1.59725
"divergent__",0,nan,0,0,0,0,nan,nan,nan
"energy__",159.038,0.264984,9.76303,143.726,158.6,175.776,1357.47,1022.96,1.00029
"alpha[1]",0.62,0.0054,0.40,-0.043,0.63,1.3,5640,4250,1.00
"alpha[2]",0.90,0.0013,0.10,0.74,0.90,1.1,5698,4294,1.00
"alpha[3]",1.5,0.0089,0.71,0.29,1.5,2.6,6458,4867,1.00
"alpha[4]",1.7,0.0050,0.41,1.0,1.7,2.4,6717,5062,1.00
"alpha[5]",1.3,0.0049,0.40,0.64,1.3,2.0,6745,5083,1.00
"alpha[6]",1.5,0.0050,0.42,0.83,1.5,2.2,6909,5206,1.00
"alpha[7]",1.9,0.0027,0.20,1.5,1.9,2.2,5778,4354,1.0
"alpha[8]",2.1,0.0062,0.50,1.3,2.1,2.9,6439,4853,1.00
"alpha[9]",0.84,0.0032,0.23,0.47,0.84,1.2,5410,4077,1.00
"alpha[10]",1.8,0.0050,0.41,1.1,1.7,2.4,6829,5147,1.00
"alpha[11]",1.4,0.0040,0.32,0.87,1.4,1.9,6312,4757,1.00
"alpha[12]",1.7,0.0042,0.35,1.2,1.7,2.3,6828,5146,1.00
"alpha[13]",1.0,0.0035,0.28,0.57,1.0,1.5,6235,4699,1.0
"alpha[14]",2.1,0.0026,0.22,1.7,2.1,2.5,7188,5417,1.00
"alpha[15]",1.2,0.0063,0.50,0.37,1.2,2.0,6195,4669,1.00
"alpha[16]",0.66,0.0062,0.49,-0.14,0.67,1.5,6275,4729,1.00
"alpha[17]",1.9,0.0090,0.73,0.69,1.9,3.1,6529,4920,1.00
"alpha[18]",0.94,0.0032,0.23,0.56,0.94,1.3,5302,3995,1.00
"alpha[19]",1.4,0.0012,0.093,1.2,1.4,1.5,5946,4480,1.00
"alpha[20]",1.8,0.0053,0.40,1.2,1.8,2.4,5555,4186,1.00
"alpha[21]",1.7,0.0029,0.25,1.3,1.7,2.1,7284,5489,1.00
"alpha[22]",0.57,0.0037,0.31,0.054,0.58,1.1,7173,5405,1.00
"alpha[23]",1.2,0.0085,0.70,0.021,1.2,2.3,6642,5006,1.00
"alpha[24]",2.1,0.0033,0.28,1.7,2.1,2.6,7041,5306,1.00
"alpha[25]",1.8,0.0024,0.20,1.5,1.8,2.1,6505,4902,1.00
"alpha[26]",1.4,0.00088,0.071,1.3,1.4,1.5,6479,4882,1.0
"alpha[27]",1.7,0.0041,0.34,1.1,1.7,2.3,6976,5257,1.00
"alpha[28]",0.97,0.0057,0.50,0.15,0.96,1.8,7824,5896,1.00
"alpha[29]",1.1,0.0053,0.40,0.40,1.1,1.7,5839,4400,1.00
"alpha[30]",0.93,0.0027,0.22,0.57,0.93,1.3,6584,4962,1.00
"alpha[31]",2.0,0.0041,0.32,1.5,2.0,2.5,5981,4507,1.00
"alpha[32]",1.2,0.0043,0.36,0.64,1.2,1.8,6922,5216,1.00
"alpha[33]",2.1,0.0041,0.35,1.5,2.1,2.6,7066,5325,1.00
"alpha[34]",1.9,0.0089,0.72,0.71,1.9,3.1,6463,4870,1.00
"alpha[35]",0.28,0.0048,0.41,-0.38,0.28,0.96,7306,5506,1.00
