name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-266.995,26.2917,37.8864,-332.59,-249.614,-232.601,2.07649,0.659203,5.19239
"accept_stat__",0.918261,0.0276427,0.103208,0.709022,0.960101,0.998764,13.9402,4.42547,1.08178
"stepsize__",0.238342,0.0945599,0.133929,0.0108868,0.29617,0.356794,2.00602,0.636831,1.56309e+14
"treedepth__",4.5755,0.0282595,1.2638,4,4,8,2000,634.921,1.72461
"n_leapfrog__",52.4258,1.98331,88.6964,15,15,264,2000,634.921,1.52215
"divergent__",0.25,0.00968367,0.433067,0,0,1,2000,634.921,inf
"energy__",311.397,26.3882,38.468,273.929,294.704,381.507,2.1251,0.674636,4.04349
"mu_alpha",1.42878,0.0436264,0.0764808,1.30265,1.4383,1.54341,3.07332,0.975657,1.64249
"sigma_alpha",0.2525,0.103749,0.151173,5.93144e-23,0.313813,0.40654,2.12315,0.674016,4.02682
"alpha[1]",1.2,0.043,0.23,0.80,1.3,1.6,28,9.0,1.0
"alpha[2]",1.0,0.12,0.19,0.78,0.97,1.4,2.4,0.77,2.3
"alpha[3]",1.4,0.044,0.24,1.1,1.4,1.9,29,9.4,1.0
"alpha[4]",1.5,0.057,0.20,1.2,1.4,1.8,12,3.9,1.1
"alpha[5]",1.4,0.035,0.23,1.1,1.4,1.8,42,13,1.0
"alpha[6]",1.4,0.046,0.24,1.1,1.4,1.9,26,8.4,1.0
"alpha[7]",1.7,0.17,0.28,1.3,1.8,2.1,2.7,0.86,1.9
"alpha[8]",1.6,0.12,0.28,1.3,1.6,2.1,5.6,1.8,1.2
"alpha[9]",1.2,0.055,0.19,0.86,1.2,1.5,12,3.7,1.1
"alpha[10]",1.5,0.060,0.22,1.2,1.4,1.9,13,4.3,1.1
"alpha[11]",1.4,0.030,0.21,1.1,1.4,1.8,51,16,1.0
"alpha[12]",1.5,0.083,0.24,1.2,1.5,2.0,8.6,2.7,1.1
"alpha[13]",1.3,0.025,0.20,0.90,1.3,1.6,63,20,1.0
"alpha[14]",1.7,0.16,0.27,1.3,1.8,2.1,2.8,0.89,1.8
"alpha[15]",1.4,0.013,0.22,1.0,1.3,1.8,317,101,1.0
"alpha[16]",1.3,0.022,0.26,0.79,1.3,1.7,138,44,1.0
